Work,Alternative Work Names,Author(s),Alternative Author Names,xml filename,size (kbs),genre,transformed,note,GitHub link,GitHub link text,Website link,Website link text,Corroborated Work ID,Corroborated Author ID,Exact Matching Work Suggestions,Exact Matching Author Suggestions,Corroborated Inexact Work ID,Corroborated Inexact Author ID,,,,,Inexact Matching Work Suggestions,Inexact Matching Author Suggestions
Nyāyāgamānusāriṇī,,Siṃhasūri Gaṇi Vādi,Siṃhāsuragaṇi,dvadasara_nayacakra,8221.8,Philosophy,,root text Dvādaśāraṃ Nayacakram by Mallavādin,dvadasara_nayacakra,https://github.com/sarit/SARIT-corpus/blob/master/dvadasara_nayacakra.xml,dvadasara_nayacakra,https://sarit.indology.info/dvadasara_nayacakra.xml?view=div,88546,85191,,,,,,,,,"[('Nayacakra', '88481', '60%'), ('Nayacakra', '89364', '60%'), ('Nayacakra', '89775', '60%'), ('Nayacakra', '91185', '60%'), ('Nayacakra', '92498', '60%'), ('Nayacakra', '92929', '60%')]",
Bhāratībhūṣaṇa,,Giridhara Dāsa,,giridharadasa-bharatibhusana,108.7,Kāvya,,"not Sanskrit, ignore! (avadhi), commentary on Sāhityadarpaṇa",giridharadasa-bharatibhusana,https://github.com/sarit/SARIT-corpus/blob/master/giridharadasa-bharatibhusana.xml,,,,,,"[('Giridhara Dāsa', '86765'), ('Giridhara Dāsa', '85780')]",,,,,,,"[('Bhedapratibhāṣādūṣaṇa', '89341', '69%'), ('Vācanabhūṣaṇa', '90099', '67%'), ('Vācanabhūṣaṇa', '95178', '67%'), ('Tājikabhūṣaṇa', '107856', '67%')]",
Mugdhāvabodhinī,,Caturbhuja Miśra,,govindabhagavatpada-rasahrdayatantra,611.6,Medicine,,comm. on Govindabhagavatpāda's Rasahṛdayatantra (in Pandit),govindabhagavatpada-rasahrdayatantra,https://github.com/sarit/SARIT-corpus/blob/master/govindabhagavatpada-rasahrdayatantra.xml,govindabhagavatpada-rasahrdayatantra,https://sarit.indology.info/govindabhagavatpada-rasahrdayatantra.xml?view=div,...,...,,,,,,,,,"[('Mugdhabodhinī', '41508', '93%'), ('Mugdhabodha', '106401', '77%'), ('Sārabodhinī', '109142', '69%')]","[('Caturbhuja', '86176', '77%'), ('Caturddhara', '98016', '67%'), ('Campakanātha Miśra', '86212', '65%')]"
Śrīśivavivāhakavitāvalī,,Hajarilāla,,hajarilala-srisivavivahakavitavali,41,Kāvya,,"not Sanskrit, ignore! (braj)",hajarilala-srisivavivahakavitavali,https://github.com/sarit/SARIT-corpus/blob/master/hajarilala-srisivavivahakavitavali.xml,,,,,,,,,,,,,,"[('Harirāma', '87321', '67%'), ('Harirāma', '87322', '67%'), ('Harirāja', '86120', '67%'), ('Haridāsa', '97538', '67%'), ('Haridāsa', '102325', '67%')]"
Īśvaravādimataparīkṣā,,Jitāri,,jitari-isvaravadimatapariksa,30.6,Philosophy,,,jitari-isvaravadimatapariksa,https://github.com/sarit/SARIT-corpus/blob/master/jitari-isvaravadimatapariksa.xml,jitari-isvaravadimatapariksa,https://sarit.indology.info/jitari-isvaravadimatapariksa.xml?view=div,89116,85335,,,,,,,,,,
Jātinirākṛti,,Jitāri,,jitari-jatinirakrti,60.8,Philosophy,,,jitari-jatinirakrti,https://github.com/sarit/SARIT-corpus/blob/master/jitari-jatinirakrti.xml,jitari-jatinirakrti,https://sarit.indology.info/jitari-jatinirakrti.xml?view=div,89106,85335,,,,,,,,,,
Nairātmyasiddhi,,Jitāri,,jitari-nairatmyasiddhi,10.5,Philosophy,,,jitari-nairatmyasiddhi,https://github.com/sarit/SARIT-corpus/blob/master/jitari-nairatmyasiddhi.xml,jitari-nairatmyasiddhi,https://sarit.indology.info/jitari-nairatmyasiddhi.xml?view=div,89107,85335,,,,,,,,,,
Sarvajñasiddhi,,Jitāri,,jitari-sarvajnasiddhi,15.1,Philosophy,,,jitari-sarvajnasiddhi,https://github.com/sarit/SARIT-corpus/blob/master/jitari-sarvajnasiddhi.xml,jitari-sarvajnasiddhi,https://sarit.indology.info/jitari-sarvajnasiddhi.xml?view=div,89114,85335,,,,,,,,,,
Vedāprāmāṇyasiddhi,,Jitāri,,jitari-vedapramanyasiddhi,26.1,Philosophy,,,jitari-vedapramanyasiddhi,https://github.com/sarit/SARIT-corpus/blob/master/jitari-vedapramanyasiddhi.xml,jitari-vedapramanyasiddhi,https://sarit.indology.info/jitari-vedapramanyasiddhi.xml?view=div,89107,85335,,"[('Jitāri', '85335')]","[('Nairātmyasiddhi', '89107', '67%')]","[('Jitāri', '85335', '100%')]",,,,,,
Aparokṣānubhava-ṭīkā,,Jñānadasa,,jnanadasa-aparoksanubhava-tika,97.2,Philosophy,,"not Sanskrit, ignore! (braj); however, included root Sanskrit text Aparokṣānubhūti/Aparokṣānubhava is ascribed to Śaṃkara",jnanadasa-aparoksanubhava-tika,https://github.com/sarit/SARIT-corpus/blob/master/jnanadasa-aparoksanubhava-tika.xml,,,,,,,,,,,,,"[('Aparokṣānubhava', '92744', '86%'), ('Aparokṣānubhava', '97704', '86%'), ('Aparokṣānu Ṭīkā', '111259', '74%'), ('Aparokṣānubhavadarpaṇa', '93182', '71%')]","[('Jñānadeva', '87368', '78%'), ('Jñānānanda', '87369', '74%'), ('Jñānānanda', '86872', '74%'), ('Jñānānanda', '87370', '74%'), ('Jñānaghana', '85287', '74%')]"
