"BN_GRETIL
displayName","BN cat.
(key)",GRETIL Path,GRETIL fn,GRETIL link,GRETIL link text,filesize (KB),partial,extract,"alt.
vers.","niche 
doc",note,Work,Alternative Work Names,Author(s),Alternative Author Names,Work ID,Author ID,,,Inexact Matching Work Suggestions,Inexact Matching Author Suggestions,Corroborated Inexact Work ID,Corroborated Inexact Author ID,Corroborated Work ID,Corroborated Author ID,Exact Matching Work Suggestions,Exact Matching Author Suggestions
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm08u,ksbhm08u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm08u.htm,28,y,,,,,Bhāratamañjarī: 8. Karṇaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm09u,ksbhm09u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm09u.htm,9.1,y,,,,,Bhāratamañjarī: 9. Śalyaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Skanda-Purana: Revakhanda,GP12,3_purana,skprevku,skprevku,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/skprevku.htm,868.4,,,,,"this is something completely different, ""present text is not to be found in any of the editions of the SkP"", confusing",Skanda-Purāṇa: Revākhaṇḍa,,,,41990,—,,,,,,,,,,
Skandapurana,GP12,3_purana,skp031pu,skp031pu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/skp031pu.htm,223.4,,,,,"Adhyayas 1 - 31.14; to be continued, Euro edition",Skandapurāṇa,,,,41990,—,,,,,,,,,"[('Skandapurāṇa', '41990')]",
Nityanathasiddha [alias Nemanatha]: Rasaratnakara,GS40,6_sastra/7_ayur,nitrrk_u,nitrrk_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/nitrrk_u.htm,525.7,,,,,,Rasaratnākara,,Nityanātha Siddha,Nityanāthasiddha,42030,40863,,,,,,,42030,40863,,
Bhartrhari: Satakatraya,GK22,5_poetry/5_subhas,bharst_u,bharst_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/5_subhas/bharst_u.htm,74.6,,,,,,Śatakatraya,,Bhartṛhari,,42036,40446,,,,,,,42036,40446,,
Narayaniya,GE07,2_epic/mbh/ext,naray__u,naray__u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/2_epic/mbh/ext/naray__u.htm,209.1,y,y,,,part of Shantiparvan,Nārāyaṇīya,,,,42120,40901,,,,,"[('Nārāyaṇīya', '42120', '100%')]",,,,"[('Nārāyaṇīya', '41874'), ('Nārāyaṇīya', '42120')]",
Varadaraja: Laghusiddhantakaumudi,GS24,6_sastra/1_gram,varlghku,varlghku,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/varlghku.htm,228.3,,,,,,Laghusiddhāntakaumudī,Laghukaumudī,Varadarāja,,42161,40877,,,,,,,42161,40877,,
Bhagavadgita 10,GE07,2_epic/mbh/ext,bhg4c10u,bhg4c10u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/2_epic/mbh/ext/bhg4c10u.htm,92,y,,,,,Bhagavadgītā 10,,,,42214,—,,,"[('Bhagavadgītā', '42214', '89%'), ('Bhagavadgītāṭīkā', '101095', '77%'), ('Bhagavadgītāṭīkā', '101056', '77%'), ('Bhagavadgītāṭīkā', '101128', '77%'), ('Bhagavadgītāṭīkā', '101136', '77%'), ('Bhagavadgītāṭīkā', '101158', '77%'), ('Bhagavadgītabhāṣya', '89938', '73%'), ('Bhagavadgītabhāṣya', '109463', '73%')]",,,,,,,
Bhagavadgita 11,GE07,2_epic/mbh/ext,bhg4c11u,bhg4c11u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/2_epic/mbh/ext/bhg4c11u.htm,108,y,,,,,Bhagavadgītā 11,,,,42214,—,,,"[('Bhagavadgītā', '42214', '89%'), ('Bhagavadgītāṭīkā', '101095', '77%'), ('Bhagavadgītāṭīkā', '101056', '77%'), ('Bhagavadgītāṭīkā', '101128', '77%'), ('Bhagavadgītāṭīkā', '101136', '77%'), ('Bhagavadgītāṭīkā', '101158', '77%'), ('Bhagavadgītabhāṣya', '89938', '73%'), ('Bhagavadgītabhāṣya', '109463', '73%')]",,,,,,,
Bhagavadgita 12,GE07,2_epic/mbh/ext,bhg4c12u,bhg4c12u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/2_epic/mbh/ext/bhg4c12u.htm,57.4,y,,,,,Bhagavadgītā 12,,,,42214,—,,,"[('Bhagavadgītā', '42214', '89%'), ('Bhagavadgītāṭīkā', '101095', '77%'), ('Bhagavadgītāṭīkā', '101056', '77%'), ('Bhagavadgītāṭīkā', '101128', '77%'), ('Bhagavadgītāṭīkā', '101136', '77%'), ('Bhagavadgītāṭīkā', '101158', '77%'), ('Bhagavadgītabhāṣya', '89938', '73%'), ('Bhagavadgītabhāṣya', '109463', '73%')]",,,,,,,
Bhagavadgita 13,GE07,2_epic/mbh/ext,bhg4c13u,bhg4c13u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/2_epic/mbh/ext/bhg4c13u.htm,113.5,y,,,,,Bhagavadgītā 13,,,,42214,—,,,"[('Bhagavadgītā', '42214', '89%'), ('Bhagavadgītāṭīkā', '101095', '77%'), ('Bhagavadgītāṭīkā', '101056', '77%'), ('Bhagavadgītāṭīkā', '101128', '77%'), ('Bhagavadgītāṭīkā', '101136', '77%'), ('Bhagavadgītāṭīkā', '101158', '77%'), ('Bhagavadgītabhāṣya', '89938', '73%'), ('Bhagavadgītabhāṣya', '109463', '73%')]",,,,,,,
